Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
Q9H0N0	RAB6C_HUMAN	RAB6C	Ras-related protein Rab-6C	5.02966e+06
Q9H0N5	PHS2_HUMAN	PCBD2	Pterin-4-alpha-carbinolamine dehydratase 2	2.79878e+06
Q9H0P0	5NT3A_HUMAN	NT5C3A	Cytosolic 5'-nucleotidase 3A	1.1055e+07
Q9H0Q0	CYRIA_HUMAN	CYRIA	CYFIP-related Rac1 interactor A	1.31193e+06
Q9H0R1	AP5M1_HUMAN	AP5M1	AP-5 complex subunit mu-1	1.06104e+06
Q9H0R4	HDHD2_HUMAN	HDHD2	Haloacid dehalogenase-like hydrolase domain-containing protein 2	5.62536e+06
Q9H0R6	GATA_HUMAN	QRSL1	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	1.34266e+06
Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47	1.08097e+07
Q9H0U3	MAGT1_HUMAN	MAGT1	Magnesium transporter protein 1	2.77801e+07
Q9H0U4	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B	1.21412e+08
Q9H0U6	RM18_HUMAN	MRPL18	Large ribosomal subunit protein uL18m	6.42423e+06
Q9H0U9	TSYL1_HUMAN	TSPYL1	Testis-specific Y-encoded-like protein 1	2.5656e+06
Q9H0V9	LMA2L_HUMAN	LMAN2L	VIP36-like protein	3.56599e+06
Q9H0W8	SMG9_HUMAN	SMG9	Nonsense-mediated mRNA decay factor SMG9	2.7441e+06
Q9H0W9	CK054_HUMAN	C11orf54	Ester hydrolase C11orf54	5.20877e+06
Q9H0X9	OSBL5_HUMAN	OSBPL5	Oxysterol-binding protein-related protein 5	1.27677e+06
Q9H147	TDIF1_HUMAN	DNTTIP1	Deoxynucleotidyltransferase terminal-interacting protein 1	1.0628e+06
Q9H165	BC11A_HUMAN	BCL11A	B-cell lymphoma/leukemia 11A	3.15745e+06
Q9H171	ZBP1_HUMAN	ZBP1	Z-DNA-binding protein 1	2.19066e+06
Q9H190	SDCB2_HUMAN	SDCBP2	Syntenin-2	3.07046e+06
Q9H1A4	APC1_HUMAN	ANAPC1	Anaphase-promoting complex subunit 1	2.34847e+06
Q9H1B7	I2BPL_HUMAN	IRF2BPL	Probable E3 ubiquitin-protein ligase IRF2BPL	7.17165e+06
Q9H1C3	GL8D2_HUMAN	GLT8D2	Glycosyltransferase 8 domain-containing protein 2	1.77485e+06
Q9H1D9	RPC6_HUMAN	POLR3F	DNA-directed RNA polymerase III subunit RPC6	2.03379e+06
Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	1.1144e+08
Q9H1E5	TMX4_HUMAN	TMX4	Thioredoxin-related transmembrane protein 4	6.69864e+06
Q9H1H9	KI13A_HUMAN	KIF13A	Kinesin-like protein KIF13A	2.35077e+06
Q9H1I8	ASCC2_HUMAN	ASCC2	Activating signal cointegrator 1 complex subunit 2	3.92342e+06
Q9H1K0	RBNS5_HUMAN	RBSN	Rabenosyn-5	1.67628e+06
Q9H1P3	OSBL2_HUMAN	OSBPL2	Oxysterol-binding protein-related protein 2	1.76087e+06
Q9H1Y0	ATG5_HUMAN	ATG5	Autophagy protein 5	3.94398e+06
Q9H1Z4	WDR13_HUMAN	WDR13	WD repeat-containing protein 13	6.55362e+06
Q9H201	EPN3_HUMAN	EPN3	Epsin-3	1.05392e+06
Q9H223	EHD4_HUMAN	EHD4	EH domain-containing protein 4	2.20577e+07
Q9H267	VP33B_HUMAN	VPS33B	Vacuolar protein sorting-associated protein 33B	3.47168e+06
Q9H269	VPS16_HUMAN	VPS16	Vacuolar protein sorting-associated protein 16 homolog	6.92601e+07
Q9H270	VPS11_HUMAN	VPS11	Vacuolar protein sorting-associated protein 11 homolog	4.37783e+06
Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	2.07097e+08
Q9H2C0	GAN_HUMAN	GAN	Gigaxonin	2.99332e+06
Q9H2D6	TARA_HUMAN	TRIOBP	TRIO and F-actin-binding protein	9.12106e+06
Q9H2F3	3BHS7_HUMAN	HSD3B7	3 beta-hydroxysteroid dehydrogenase type 7	304632
Q9H2G2	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase	1.35702e+07
Q9H2H8	PPIL3_HUMAN	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3	1.20235e+07
Q9H2J4	PDCL3_HUMAN	PDCL3	Phosducin-like protein 3	8.98081e+06
Q9H2K8	TAOK3_HUMAN	TAOK3	Serine/threonine-protein kinase TAO3	6.25621e+06
Q9H2M3	BHMT2_HUMAN	BHMT2	S-methylmethionine--homocysteine S-methyltransferase BHMT2	2.26145e+07
Q9H2M9	RBGPR_HUMAN	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit	8.39089e+06
Q9H2P0	ADNP_HUMAN	ADNP	Activity-dependent neuroprotector homeobox protein	7.12505e+06
Q9H2S5	RNF39_HUMAN	RNF39	RING finger protein 39	5.16919e+07
Q9H2U1	DHX36_HUMAN	DHX36	ATP-dependent DNA/RNA helicase DHX36	5.96584e+06
Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial	1.04127e+07
Q9H2V7	SPNS1_HUMAN	SPNS1	Protein spinster homolog 1	1.14813e+07
Q9H2W6	RM46_HUMAN	MRPL46	Large ribosomal subunit protein mL46	5.68933e+06
Q9H2X9	S12A5_HUMAN	SLC12A5	Solute carrier family 12 member 5	2.37689e+07
Q9H307	PININ_HUMAN	PNN	Pinin	1.35924e+07
Q9H330	TM245_HUMAN	TMEM245	Transmembrane protein 245	1.57352e+06
Q9H3D4	P63_HUMAN	TP63	Tumor protein 63	2.85807e+07
Q9H3G5	CPVL_HUMAN	CPVL	Probable serine carboxypeptidase CPVL	1.51364e+07
Q9H3H3	CK068_HUMAN	C11orf68	UPF0696 protein C11orf68	4.89798e+06
Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	2.99966e+07
Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	2.55903e+07
Q9H3P2	NELFA_HUMAN	NELFA	Negative elongation factor A	6.06054e+06
Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60	7.80027e+06
Q9H3Q1	BORG4_HUMAN	CDC42EP4	Cdc42 effector protein 4	7.7564e+06
Q9H3Q3	G3ST2_HUMAN	GAL3ST2	Galactose-3-O-sulfotransferase 2	2.00983e+06
Q9H3S7	PTN23_HUMAN	PTPN23	Tyrosine-protein phosphatase non-receptor type 23	1.38956e+07
Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	2.84119e+07
Q9H3Z4	DNJC5_HUMAN	DNAJC5	DnaJ homolog subfamily C member 5	3.40676e+06
Q9H400	LIME1_HUMAN	LIME1	Lck-interacting transmembrane adapter 1	922547
Q9H410	DSN1_HUMAN	DSN1	Kinetochore-associated protein DSN1 homolog	2.28236e+06
Q9H425	CA198_HUMAN	C1orf198	Uncharacterized protein C1orf198	1.09641e+07
Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	3.2027e+07
Q9H446	RWDD1_HUMAN	RWDD1	RWD domain-containing protein 1	5.63262e+06
Q9H477	RBSK_HUMAN	RBKS	Ribokinase	738726
Q9H479	FN3K_HUMAN	FN3K	Fructosamine-3-kinase	2.89052e+06
Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1	8.02845e+06
Q9H497	TOR3A_HUMAN	TOR3A	Torsin-3A	718355
Q9H4A3	WNK1_HUMAN	WNK1	Serine/threonine-protein kinase WNK1	9.71608e+06
Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B	8.07265e+07
Q9H4A5	GLP3L_HUMAN	GOLPH3L	Golgi phosphoprotein 3-like	2.76975e+06
Q9H4A6	GOLP3_HUMAN	GOLPH3	Golgi phosphoprotein 3	4.6537e+06
Q9H4B8	DPEP3_HUMAN	DPEP3	Dipeptidase 3	3.62377e+06
Q9H4E7	DEFI6_HUMAN	DEF6	Differentially expressed in FDCP 6 homolog	5.7287e+07
Q9H4G0	E41L1_HUMAN	EPB41L1	Band 4.1-like protein 1	1.03491e+07
Q9H4G4	GAPR1_HUMAN	GLIPR2	Golgi-associated plant pathogenesis-related protein 1	2.46003e+07
Q9H4H8	FA83D_HUMAN	FAM83D	Protein FAM83D	4.73812e+06
Q9H4L4	SENP3_HUMAN	SENP3	Sentrin-specific protease 3	3.70139e+07
Q9H4L5	OSBL3_HUMAN	OSBPL3	Oxysterol-binding protein-related protein 3	5.19008e+06
Q9H4L7	SMRCD_HUMAN	SMARCAD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	860072
Q9H4M7	PKHA4_HUMAN	PLEKHA4	Pleckstrin homology domain-containing family A member 4	395295
Q9H4M9	EHD1_HUMAN	EHD1	EH domain-containing protein 1	4.22853e+07
Q9H4P4	RNF41_HUMAN	RNF41	E3 ubiquitin-protein ligase NRDP1	1.52431e+07
Q9H4Z3	CAPAM_HUMAN	PCIF1	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	1.3928e+07
Q9H501	ESF1_HUMAN	ESF1	ESF1 homolog	1.32436e+06
Q9H553	ALG2_HUMAN	ALG2	Alpha-1,3/1,6-mannosyltransferase ALG2	4.18488e+06
Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1	9.81184e+07
Q9H5H4	ZN768_HUMAN	ZNF768	Zinc finger protein 768	1.82577e+06
Q9H5N1	RABE2_HUMAN	RABEP2	Rab GTPase-binding effector protein 2	8.39694e+06
Q9H5V8	CDCP1_HUMAN	CDCP1	CUB domain-containing protein 1	2.64399e+06
Q9H5V9	STEEP_HUMAN	STEEP1	STING ER exit protein	1.78061e+06
Q9H5X1	CIA2A_HUMAN	CIAO2A	Cytosolic iron-sulfur assembly component 2A	3.41565e+06
Q9H5Z1	DHX35_HUMAN	DHX35	Probable ATP-dependent RNA helicase DHX35	676163
Q9H668	STN1_HUMAN	STN1	CST complex subunit STN1	7.92466e+06
Q9H672	ASB7_HUMAN	ASB7	Ankyrin repeat and SOCS box protein 7	247909
Q9H6D7	HAUS4_HUMAN	HAUS4	HAUS augmin-like complex subunit 4	4.96647e+06
Q9H6E4	CC134_HUMAN	CCDC134	Coiled-coil domain-containing protein 134	2.41266e+06
Q9H6F5	CCD86_HUMAN	CCDC86	Coiled-coil domain-containing protein 86	3.11158e+06
Q9H6H4	REEP4_HUMAN	REEP4	Receptor expression-enhancing protein 4	2.53964e+06
Q9H6Q4	CIAO3_HUMAN	CIAO3	Cytosolic iron-sulfur assembly component 3	9.97902e+06
Q9H6R3	ACSS3_HUMAN	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	2.43617e+06
Q9H6R4	NOL6_HUMAN	NOL6	Nucleolar protein 6	2.41736e+06
Q9H6S0	YTDC2_HUMAN	YTHDC2	3'-5' RNA helicase YTHDC2	2.25399e+07
Q9H6S3	ES8L2_HUMAN	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2	2.94986e+07
Q9H6T0	ESRP2_HUMAN	ESRP2	Epithelial splicing regulatory protein 2	4.38127e+06
Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	2.06172e+06
Q9H6U6	BCAS3_HUMAN	BCAS3	BCAS3 microtubule associated cell migration factor	2.3713e+06
Q9H6V9	LDAH_HUMAN	LDAH	Lipid droplet-associated hydrolase	2.23478e+06
Q9H6W3	RIOX1_HUMAN	RIOX1	Ribosomal oxygenase 1	4.18446e+06
Q9H6X2	ANTR1_HUMAN	ANTXR1	Anthrax toxin receptor 1	9.93699e+06
Q9H6Y2	WDR55_HUMAN	WDR55	WD repeat-containing protein 55	1.86451e+06
Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3	1.30669e+07
Q9H773	DCTP1_HUMAN	DCTPP1	dCTP pyrophosphatase 1	1.03754e+07
Q9H788	SH24A_HUMAN	SH2D4A	SH2 domain-containing protein 4A	4.07553e+06
Q9H792	PEAK1_HUMAN	PEAK1	Inactive tyrosine-protein kinase PEAK1	1.33441e+06
Q9H7B2	RPF2_HUMAN	RPF2	Ribosome production factor 2 homolog	2.34465e+06
Q9H7C9	AAMDC_HUMAN	AAMDC	Mth938 domain-containing protein	7.29107e+06
Q9H7D0	DOCK5_HUMAN	DOCK5	Dedicator of cytokinesis protein 5	1.21454e+06
Q9H7D7	WDR26_HUMAN	WDR26	WD repeat-containing protein 26	3.459e+06
Q9H7E9	CH033_HUMAN	C8orf33	UPF0488 protein C8orf33	2.65324e+06
Q9H7F0	AT133_HUMAN	ATP13A3	Polyamine-transporting ATPase 13A3	2.26287e+06
Q9H7H0	MET17_HUMAN	METTL17	Methyltransferase-like protein 17, mitochondrial	1.32739e+06
Q9H7L9	SDS3_HUMAN	SUDS3	Sin3 histone deacetylase corepressor complex component SDS3	6.36254e+06
Q9H7N4	SFR19_HUMAN	SCAF1	Splicing factor, arginine/serine-rich 19	1.02607e+07
Q9H7Z6	KAT8_HUMAN	KAT8	Histone acetyltransferase KAT8	2.61653e+06
Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	1.68353e+06
Q9H814	PHAX_HUMAN	PHAX	Phosphorylated adapter RNA export protein	5.37325e+06
Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z	4.8884e+07
Q9H845	ACAD9_HUMAN	ACAD9	Complex I assembly factor ACAD9, mitochondrial	1.05613e+07
Q9H857	NT5D2_HUMAN	NT5DC2	5'-nucleotidase domain-containing protein 2	2.64571e+06
Q9H871	RMD5A_HUMAN	RMND5A	E3 ubiquitin-protein transferase RMND5A	2.07911e+06
Q9H8H0	NOL11_HUMAN	NOL11	Nucleolar protein 11	2.74071e+06
Q9H8H2	DDX31_HUMAN	DDX31	Probable ATP-dependent RNA helicase DDX31	1.2453e+06
Q9H8H3	TMT1A_HUMAN	TMT1A	N6-adenosine-methyltransferase TMT1A	8.98712e+06
Q9H8L6	MMRN2_HUMAN	MMRN2	Multimerin-2	4.92019e+06
Q9H8M7	MINY3_HUMAN	MINDY3	Ubiquitin carboxyl-terminal hydrolase MINDY-3	1.41853e+06
Q9H8S9	MOB1A_HUMAN	MOB1A	MOB kinase activator 1A	2.61595e+07
Q9H8W4	PKHF2_HUMAN	PLEKHF2	Pleckstrin homology domain-containing family F member 2	1.19482e+06
Q9H8Y5	ANKZ1_HUMAN	ANKZF1	tRNA endonuclease ANKZF1	1.28467e+06
Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2	1.79836e+07
Q9H900	ZWILC_HUMAN	ZWILCH	Protein zwilch homolog	916804
Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2	2.63802e+07
Q9H930	SP14L_HUMAN	SP140L	Nuclear body protein SP140-like protein	2.66589e+07
Q9H939	PPIP2_HUMAN	PSTPIP2	Proline-serine-threonine phosphatase-interacting protein 2	2.26886e+06
Q9H944	MED20_HUMAN	MED20	Mediator of RNA polymerase II transcription subunit 20	5.60077e+06
Q9H967	WDR76_HUMAN	WDR76	WD repeat-containing protein 76	1.37846e+06
Q9H974	QTRT2_HUMAN	QTRT2	Queuine tRNA-ribosyltransferase accessory subunit 2	1.18651e+06
Q9H993	ARMT1_HUMAN	ARMT1	Damage-control phosphatase ARMT1	4.17644e+06
Q9H9A5	CNO10_HUMAN	CNOT10	CCR4-NOT transcription complex subunit 10	1.75962e+06
Q9H9A6	LRC40_HUMAN	LRRC40	Leucine-rich repeat-containing protein 40	8.13844e+06
Q9H9B1	EHMT1_HUMAN	EHMT1	Histone-lysine N-methyltransferase EHMT1	4.40081e+06
Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1	1.31942e+07
Q9H9C1	SPE39_HUMAN	VIPAS39	Spermatogenesis-defective protein 39 homolog	721669
Q9H9E3	COG4_HUMAN	COG4	Conserved oligomeric Golgi complex subunit 4	1.91528e+06
Q9H9F9	ARP5_HUMAN	ACTR5	Actin-related protein 5	2.35314e+06
Q9H9G7	AGO3_HUMAN	AGO3	Protein argonaute-3	6.39053e+06
Q9H9H4	VP37B_HUMAN	VPS37B	Vacuolar protein sorting-associated protein 37B	3.0799e+06
Q9H9J2	RM44_HUMAN	MRPL44	Large ribosomal subunit protein mL44	2.31141e+06
Q9H9P8	L2HDH_HUMAN	L2HGDH	L-2-hydroxyglutarate dehydrogenase, mitochondrial	1.50743e+06
Q9H9Q2	CSN7B_HUMAN	COPS7B	COP9 signalosome complex subunit 7b	6.49802e+06
Q9H9T3	ELP3_HUMAN	ELP3	Elongator complex protein 3	6.75054e+06
Q9H9Y2	RPF1_HUMAN	RPF1	Ribosome production factor 1	2.13023e+06
Q9H9Y4	GPN2_HUMAN	GPN2	GPN-loop GTPase 2	903652
Q9H9Y6	RPA2_HUMAN	POLR1B	DNA-directed RNA polymerase I subunit RPA2	8.10902e+06
Q9HA64	KT3K_HUMAN	FN3KRP	Ketosamine-3-kinase	3.15928e+07
Q9HA65	TBC17_HUMAN	TBC1D17	TBC1 domain family member 17	4.39979e+06
Q9HA77	SYCM_HUMAN	CARS2	Probable cysteine--tRNA ligase, mitochondrial	6.51912e+06
Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase	1.77045e+07
Q9HAJ7	SP30L_HUMAN	SAP30L	Histone deacetylase complex subunit SAP30L	2.11414e+06
Q9HAN9	NMNA1_HUMAN	NMNAT1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	3.44105e+06
Q9HAS0	NJMU_HUMAN	C17orf75	Protein Njmu-R1	587549
Q9HAT2	SIAE_HUMAN	SIAE	Sialate O-acetylesterase	2.33788e+06
Q9HAU0	PKHA5_HUMAN	PLEKHA5	Pleckstrin homology domain-containing family A member 5	6.4941e+06
Q9HAU5	RENT2_HUMAN	UPF2	Regulator of nonsense transcripts 2	3.45359e+06
Q9HAV0	GBB4_HUMAN	GNB4	Guanine nucleotide-binding protein subunit beta-4	5.8206e+06
Q9HAV4	XPO5_HUMAN	XPO5	Exportin-5	4.72944e+06
Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	1.6584e+07
Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	1.23667e+07
Q9HB19	PKHA2_HUMAN	PLEKHA2	Pleckstrin homology domain-containing family A member 2	3.64524e+06
Q9HB21	PKHA1_HUMAN	PLEKHA1	Pleckstrin homology domain-containing family A member 1	9.1569e+06
Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	1.63729e+07
Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	1.98931e+07
Q9HB90	RRAGC_HUMAN	RRAGC	Ras-related GTP-binding protein C	9.58919e+06
Q9HBE1	PATZ1_HUMAN	PATZ1	POZ-, AT hook-, and zinc finger-containing protein 1	360829
Q9HBF4	ZFYV1_HUMAN	ZFYVE1	Zinc finger FYVE domain-containing protein 1	1.41116e+06
Q9HBH5	RDH14_HUMAN	RDH14	Retinol dehydrogenase 14	6.11566e+06
Q9HBI0	PARVG_HUMAN	PARVG	Gamma-parvin	2.72224e+06
Q9HBL0	TENS1_HUMAN	TNS1	Tensin-1	2.9641e+07
Q9HBL7	PLRKT_HUMAN	PLGRKT	Plasminogen receptor (KT)	1.05821e+07
Q9HBL8	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1	3.56397e+06
Q9HBM6	TAF9B_HUMAN	TAF9B	Transcription initiation factor TFIID subunit 9B	2.15923e+06
Q9HBR0	S38AA_HUMAN	SLC38A10	Putative sodium-coupled neutral amino acid transporter 10	1.6143e+06
Q9HC16	ABC3G_HUMAN	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G	2.95515e+06
Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	2.68168e+07
Q9HC36	MRM3_HUMAN	MRM3	rRNA methyltransferase 3, mitochondrial	1.83705e+06
Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	2.65424e+07
Q9HC52	CBX8_HUMAN	CBX8	Chromobox protein homolog 8	2.4296e+06
Q9HC77	CENPJ_HUMAN	CENPJ	Centromere protein J	1.86526e+07
Q9HC78	ZBT20_HUMAN	ZBTB20	Zinc finger and BTB domain-containing protein 20	512057
Q9HCB6	SPON1_HUMAN	SPON1	Spondin-1	4.05892e+06
Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	1.135e+07
Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	1.06327e+07
Q9HCD6	TANC2_HUMAN	TANC2	Protein TANC2	2.3007e+06
Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	1.10995e+07
Q9HCE6	ARGAL_HUMAN	ARHGEF10L	Rho guanine nucleotide exchange factor 10-like protein	1.58095e+06
Q9HCG8	CWC22_HUMAN	CWC22	Pre-mRNA-splicing factor CWC22 homolog	2.28665e+06
Q9HCJ0	TNR6C_HUMAN	TNRC6C	Trinucleotide repeat-containing gene 6C protein	5.45825e+07
Q9HCK8	CHD8_HUMAN	CHD8	Chromodomain-helicase-DNA-binding protein 8	2.90647e+06
Q9HCM4	E41L5_HUMAN	EPB41L5	Band 4.1-like protein 5	593992
Q9HCN4	GPN1_HUMAN	GPN1	GPN-loop GTPase 1	2.85456e+06
Q9HCN8	SDF2L_HUMAN	SDF2L1	Stromal cell-derived factor 2-like protein 1	9.21496e+06
Q9HCP0	KC1G1_HUMAN	CSNK1G1	Casein kinase I isoform gamma-1	700023
Q9HCS7	SYF1_HUMAN	XAB2	Pre-mRNA-splicing factor SYF1	6.3909e+06
Q9HCU0	CD248_HUMAN	CD248	Endosialin	3.57323e+06
Q9HCU4	CELR2_HUMAN	CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2	3.33014e+06
Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein	3.43635e+06
Q9HCY8	S10AE_HUMAN	S100A14	Protein S100-A14	1.82833e+07
Q9HD15	SRA1_HUMAN	SRA1	Steroid receptor RNA activator 1	2.00134e+06
Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	7.37675e+06
Q9HD26	GOPC_HUMAN	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein	5.79732e+06
Q9HD33	RM47_HUMAN	MRPL47	Large ribosomal subunit protein uL29m	9.04452e+06
Q9HD34	LYRM4_HUMAN	LYRM4	LYR motif-containing protein 4	4.81802e+06
Q9HD42	CHM1A_HUMAN	CHMP1A	Charged multivesicular body protein 1a	1.67598e+07
Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	5.09445e+06
Q9HD47	MOG1_HUMAN	RANGRF	Ran guanine nucleotide release factor	1.60747e+06
Q9HD89	RETN_HUMAN	RETN	Resistin	2.4351e+06
Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	4.35453e+07
Q9NNW5	WDR6_HUMAN	WDR6	tRNA (34-2'-O)-methyltransferase regulator WDR6	3.42179e+06
Q9NNW7	TRXR2_HUMAN	TXNRD2	Thioredoxin reductase 2, mitochondrial	2.44109e+06
Q9NNX1	TUFT1_HUMAN	TUFT1	Tuftelin	3.43573e+06
Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3	2.42569e+07
Q9NP66	HM20A_HUMAN	HMG20A	High mobility group protein 20A	4.23089e+06
Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	1.50683e+07
Q9NP74	PALMD_HUMAN	PALMD	Palmdelphin	3.38249e+07
Q9NP77	SSU72_HUMAN	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	1.79514e+06
Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	2.03994e+07
Q9NP80	PLPL8_HUMAN	PNPLA8	Calcium-independent phospholipase A2-gamma	1.56181e+07
Q9NP81	SYSM_HUMAN	SARS2	Serine--tRNA ligase, mitochondrial	4.83459e+06
Q9NP92	RT30_HUMAN	MRPS30	Large ribosomal subunit protein mL65	1.8147e+06
Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	2.36948e+07
Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7	8.5312e+06
Q9NPA8	ENY2_HUMAN	ENY2	Transcription and mRNA export factor ENY2	1.02719e+07
Q9NPB8	GPCP1_HUMAN	GPCPD1	Glycerophosphocholine phosphodiesterase GPCPD1	1.73216e+06
Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	1.19875e+07
Q9NPE3	NOP10_HUMAN	NOP10	H/ACA ribonucleoprotein complex subunit 3	1.10758e+07
Q9NPF4	OSGEP_HUMAN	OSGEP	tRNA N6-adenosine threonylcarbamoyltransferase	1.70436e+07
Q9NPF5	DMAP1_HUMAN	DMAP1	DNA methyltransferase 1-associated protein 1	4.26307e+06
Q9NPH2	INO1_HUMAN	ISYNA1	Inositol-3-phosphate synthase 1	1.09676e+07
Q9NPH3	IL1AP_HUMAN	IL1RAP	Interleukin-1 receptor accessory protein	904454
Q9NPI6	DCP1A_HUMAN	DCP1A	mRNA-decapping enzyme 1A	3.25183e+06
Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	6.28467e+06
Q9NPJ6	MED4_HUMAN	MED4	Mediator of RNA polymerase II transcription subunit 4	4.05563e+06
Q9NPQ8	RIC8A_HUMAN	RIC8A	Synembryn-A	9.90684e+06
Q9NPR2	SEM4B_HUMAN	SEMA4B	Semaphorin-4B	1.34399e+07
Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1	5.15833e+06
Q9NQ38	ISK5_HUMAN	SPINK5	Serine protease inhibitor Kazal-type 5	1.07057e+07
Q9NQ48	LZTL1_HUMAN	LZTFL1	Leucine zipper transcription factor-like protein 1	4.86671e+06
Q9NQ50	RM40_HUMAN	MRPL40	Large ribosomal subunit protein mL40	3.3601e+06
Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog	9.29035e+06
Q9NQ79	CRAC1_HUMAN	CRTAC1	Cartilage acidic protein 1	3.44335e+06
Q9NQ88	TIGAR_HUMAN	TIGAR	Fructose-2,6-bisphosphatase TIGAR	9.01179e+06
Q9NQA3	WASH6_HUMAN	WASH6P	WAS protein family homolog 6	1.55984e+06
Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	5.04775e+07
Q9NQC7	CYLD_HUMAN	CYLD	Ubiquitin carboxyl-terminal hydrolase CYLD	2.04307e+06
Q9NQE9	HINT3_HUMAN	HINT3	Adenosine 5'-monophosphoramidase HINT3	5.37757e+06
Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	1.83549e+07
Q9NQG6	MID51_HUMAN	MIEF1	Mitochondrial dynamics protein MIEF1	1.29831e+06
Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	6.6552e+06
Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2	1.86745e+07
Q9NQS1	AVEN_HUMAN	AVEN	Cell death regulator Aven	434709
