Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_11.mzML
Q969J3	BORC5_HUMAN	BORCS5	BLOC-1-related complex subunit 5	1.10838e+06
Q969L2	MAL2_HUMAN	MAL2	Protein MAL2	2.64638e+06
Q969M3	YIPF5_HUMAN	YIPF5	Protein YIPF5	2.07229e+06
Q969N2	PIGT_HUMAN	PIGT	GPI transamidase component PIG-T	636179
Q969Q5	RAB24_HUMAN	RAB24	Ras-related protein Rab-24	1.10595e+07
Q969S3	ZN622_HUMAN	ZNF622	Cytoplasmic 60S subunit biogenesis factor ZNF622	2.10308e+06
Q969T9	WBP2_HUMAN	WBP2	WW domain-binding protein 2	5.72853e+06
Q969U7	PSMG2_HUMAN	PSMG2	Proteasome assembly chaperone 2	5.73189e+06
Q969V3	NCLN_HUMAN	NCLN	BOS complex subunit NCLN	1.5575e+07
Q969X5	ERGI1_HUMAN	ERGIC1	Endoplasmic reticulum-Golgi intermediate compartment protein 1	6.12743e+06
Q969X6	UTP4_HUMAN	UTP4	U3 small nucleolar RNA-associated protein 4 homolog	856842
Q969Z0	FAKD4_HUMAN	TBRG4	FAST kinase domain-containing protein 4	665608
Q96A08	H2B1A_HUMAN	H2BC1	Histone H2B type 1-A	2.10144e+08
Q96A19	C102A_HUMAN	CCDC102A	Coiled-coil domain-containing protein 102A	570202
Q96A33	CCD47_HUMAN	CCDC47	PAT complex subunit CCDC47	4.28796e+06
Q96A35	RM24_HUMAN	MRPL24	Large ribosomal subunit protein uL24m	1.57698e+06
Q96A65	EXOC4_HUMAN	EXOC4	Exocyst complex component 4	6.0709e+06
Q96AB3	ISOC2_HUMAN	ISOC2	Isochorismatase domain-containing protein 2	2.22085e+06
Q96AC1	FERM2_HUMAN	FERMT2	Fermitin family homolog 2	5.10427e+06
Q96AE4	FUBP1_HUMAN	FUBP1	Far upstream element-binding protein 1	3.347e+07
Q96AG3	S2546_HUMAN	SLC25A46	Mitochondrial outer membrane protein SLC25A46	1.02932e+06
Q96AG4	LRC59_HUMAN	LRRC59	Leucine-rich repeat-containing protein 59	2.07023e+07
Q96AQ6	PBIP1_HUMAN	PBXIP1	Pre-B-cell leukemia transcription factor-interacting protein 1	6.00371e+07
Q96AX1	VP33A_HUMAN	VPS33A	Vacuolar protein sorting-associated protein 33A	4.09978e+06
Q96AY3	FKB10_HUMAN	FKBP10	Peptidyl-prolyl cis-trans isomerase FKBP10	1.85515e+08
Q96AZ6	ISG20_HUMAN	ISG20	Interferon-stimulated gene 20 kDa protein	1.15077e+07
Q96B26	EXOS8_HUMAN	EXOSC8	Exosome complex component RRP43	606830
Q96B36	AKTS1_HUMAN	AKT1S1	Proline-rich AKT1 substrate 1	1.52075e+06
Q96B49	TOM6_HUMAN	TOMM6	Mitochondrial import receptor subunit TOM6 homolog	950678
Q96B97	SH3K1_HUMAN	SH3KBP1	SH3 domain-containing kinase-binding protein 1	5.00791e+06
Q96BJ3	AIDA_HUMAN	AIDA	Axin interactor, dorsalization-associated protein	3.5122e+06
Q96BM9	ARL8A_HUMAN	ARL8A	ADP-ribosylation factor-like protein 8A	8.24493e+06
Q96BN8	OTUL_HUMAN	OTULIN	Ubiquitin thioesterase otulin	1.2443e+07
Q96BP3	PPWD1_HUMAN	PPWD1	Peptidylprolyl isomerase domain and WD repeat-containing protein 1	2.62683e+06
Q96BR1	SGK3_HUMAN	SGK3	Serine/threonine-protein kinase Sgk3	578774
Q96BW5	PTER_HUMAN	PTER	Phosphotriesterase-related protein	7.10553e+06
Q96BY6	DOC10_HUMAN	DOCK10	Dedicator of cytokinesis protein 10	1.71596e+06
Q96BZ4	PLD4_HUMAN	PLD4	5'-3' exonuclease PLD4	1.28314e+06
Q96C01	F136A_HUMAN	FAM136A	Protein FAM136A	3.27502e+06
Q96C19	EFHD2_HUMAN	EFHD2	EF-hand domain-containing protein D2	2.86093e+07
Q96C23	GALM_HUMAN	GALM	Galactose mutarotase	1.26459e+07
Q96C36	P5CR2_HUMAN	PYCR2	Pyrroline-5-carboxylate reductase 2	617817
Q96C86	DCPS_HUMAN	DCPS	m7GpppX diphosphatase	9.49687e+06
Q96C90	PP14B_HUMAN	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B	3.66552e+06
Q96CM8	ACSF2_HUMAN	ACSF2	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.23699e+06
Q96CN7	ISOC1_HUMAN	ISOC1	Isochorismatase domain-containing protein 1	5.5749e+06
Q96CP2	FWCH2_HUMAN	FLYWCH2	FLYWCH family member 2	1.60479e+06
Q96CS3	FAF2_HUMAN	FAF2	FAS-associated factor 2	4.67594e+06
Q96CT7	CC124_HUMAN	CCDC124	Coiled-coil domain-containing protein 124	5.77166e+06
Q96CU9	FXRD1_HUMAN	FOXRED1	FAD-dependent oxidoreductase domain-containing protein 1	1.64097e+06
Q96CV9	OPTN_HUMAN	OPTN	Optineurin	5.90853e+06
Q96CW1	AP2M1_HUMAN	AP2M1	AP-2 complex subunit mu	1.92558e+07
Q96CW5	GCP3_HUMAN	TUBGCP3	Gamma-tubulin complex component 3	1.17411e+06
Q96CX2	KCD12_HUMAN	KCTD12	BTB/POZ domain-containing protein KCTD12	1.09779e+07
Q96D15	RCN3_HUMAN	RCN3	Reticulocalbin-3	1.84845e+07
Q96D46	NMD3_HUMAN	NMD3	60S ribosomal export protein NMD3	909866
Q96D71	REPS1_HUMAN	REPS1	RalBP1-associated Eps domain-containing protein 1	2.61995e+06
Q96D96	HVCN1_HUMAN	HVCN1	Voltage-gated hydrogen channel 1	2.12575e+06
Q96DA6	TIM14_HUMAN	DNAJC19	Mitochondrial import inner membrane translocase subunit TIM14	921827
Q96DB5	RMD1_HUMAN	RMDN1	Regulator of microtubule dynamics protein 1	2.38683e+06
Q96DC8	ECHD3_HUMAN	ECHDC3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	1.26713e+06
Q96DE0	NUD16_HUMAN	NUDT16	U8 snoRNA-decapping enzyme	4.09926e+06
Q96DE5	APC16_HUMAN	ANAPC16	Anaphase-promoting complex subunit 16	160975
Q96DG6	CMBL_HUMAN	CMBL	Carboxymethylenebutenolidase homolog	1.56199e+06
Q96DH6	MSI2H_HUMAN	MSI2	RNA-binding protein Musashi homolog 2	2.8857e+06
Q96DI7	SNR40_HUMAN	SNRNP40	U5 small nuclear ribonucleoprotein 40 kDa protein	6.19239e+06
Q96DT6	ATG4C_HUMAN	ATG4C	Cysteine protease ATG4C	436227
Q96DV4	RM38_HUMAN	MRPL38	Large ribosomal subunit protein mL38	3.29595e+06
Q96DZ1	ERLEC_HUMAN	ERLEC1	Endoplasmic reticulum lectin 1	1.58335e+06
Q96E11	RRFM_HUMAN	MRRF	Ribosome-recycling factor, mitochondrial	6.27769e+06
Q96E39	RMXL1_HUMAN	RBMXL1	RNA binding motif protein, X-linked-like-1	4.01635e+06
Q96EE3	SEH1_HUMAN	SEH1L	Nucleoporin SEH1	2.47276e+06
Q96EI5;Q9H3H9	TCAL2_HUMAN;TCAL4_HUMAN	TCEAL2;TCEAL4	Transcription elongation factor A protein-like 4	254125
Q96EK7	F120B_HUMAN	FAM120B	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	739830
Q96EK9	KTI12_HUMAN	KTI12	Protein KTI12 homolog	1.22954e+06
Q96EL3	RM53_HUMAN	MRPL53	Large ribosomal subunit protein mL53	224313
Q96EP0	RNF31_HUMAN	RNF31	E3 ubiquitin-protein ligase RNF31	1.77279e+06
Q96EP5	DAZP1_HUMAN	DAZAP1	DAZ-associated protein 1	1.75818e+07
Q96EV2	RBM33_HUMAN	RBM33	RNA-binding protein 33	1.65692e+06
Q96EY1	DNJA3_HUMAN	DNAJA3	DnaJ homolog subfamily A member 3, mitochondrial	4.28512e+06
Q96EY5	MB12A_HUMAN	MVB12A	Multivesicular body subunit 12A	1.02273e+06
Q96EY7	PTCD3_HUMAN	PTCD3	Small ribosomal subunit protein mS39	3.34819e+06
Q96EY8	MMAB_HUMAN	MMAB	Corrinoid adenosyltransferase MMAB	3.98247e+06
Q96F07	CYFP2_HUMAN	CYFIP2	Cytoplasmic FMR1-interacting protein 2	3.31308e+06
Q96F15	GIMA5_HUMAN	GIMAP5	GTPase IMAP family member 5	2.65062e+06
Q96F63	CCD97_HUMAN	CCDC97	Coiled-coil domain-containing protein 97	1.70631e+06
Q96F85	CNRP1_HUMAN	CNRIP1	CB1 cannabinoid receptor-interacting protein 1	1.95411e+06
Q96F86	EDC3_HUMAN	EDC3	Enhancer of mRNA-decapping protein 3	2.25375e+06
Q96FJ2	DYL2_HUMAN	DYNLL2	Dynein light chain 2, cytoplasmic	5.03692e+06
Q96FN4	CPNE2_HUMAN	CPNE2	Copine-2	427009
Q96FQ6	S10AG_HUMAN	S100A16	Protein S100-A16	1.3767e+07
Q96FS4	SIPA1_HUMAN	SIPA1	Signal-induced proliferation-associated protein 1	5.71838e+06
Q96FV2	SCRN2_HUMAN	SCRN2	Secernin-2	1.79156e+07
Q96FV9	THOC1_HUMAN	THOC1	THO complex subunit 1	1.86587e+06
Q96FW1	OTUB1_HUMAN	OTUB1	Ubiquitin thioesterase OTUB1	3.15791e+07
Q96FX7	TRM61_HUMAN	TRMT61A	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	486221
Q96FZ2	HMCES_HUMAN	HMCES	Abasic site processing protein HMCES	880626
Q96FZ7	CHMP6_HUMAN	CHMP6	Charged multivesicular body protein 6	2.43624e+06
Q96G03	PGM2_HUMAN	PGM2	Phosphopentomutase	2.51545e+07
Q96G21	IMP4_HUMAN	IMP4	U3 small nucleolar ribonucleoprotein protein IMP4	2.79372e+06
Q96G23	CERS2_HUMAN	CERS2	Ceramide synthase 2	2.29203e+06
Q96G25	MED8_HUMAN	MED8	Mediator of RNA polymerase II transcription subunit 8	1.0136e+06
Q96G42	KLD7B_HUMAN	KLHDC7B	Kelch domain-containing protein 7B	3.73895e+06
Q96G46	DUS3L_HUMAN	DUS3L	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	3.14468e+06
Q96GA7	SDSL_HUMAN	SDSL	Serine dehydratase-like	1.51122e+06
Q96GC5	RM48_HUMAN	MRPL48	Large ribosomal subunit protein mL48	2.63542e+06
Q96GD0	PLPP_HUMAN	PDXP	Chronophin	2.37668e+06
Q96GG9	DCNL1_HUMAN	DCUN1D1	DCN1-like protein 1	3.02785e+06
Q96GK7	FAH2A_HUMAN	FAHD2A	Fumarylacetoacetate hydrolase domain-containing protein 2A	1.40959e+06
Q96GM5	SMRD1_HUMAN	SMARCD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	1.04157e+06
Q96GM8	TOE1_HUMAN	TOE1	Target of EGR1 protein 1	917592
Q96GQ7	DDX27_HUMAN	DDX27	Probable ATP-dependent RNA helicase DDX27	7.57896e+06
Q96GS4	BORC6_HUMAN	BORCS6	BLOC-1-related complex subunit 6	1.23393e+06
Q96GX9	MTNB_HUMAN	APIP	Methylthioribulose-1-phosphate dehydratase	2.86569e+06
Q96H20	SNF8_HUMAN	SNF8	Vacuolar-sorting protein SNF8	5.7956e+06
Q96H79	ZCCHL_HUMAN	ZC3HAV1L	Zinc finger CCCH-type antiviral protein 1-like	1.48312e+06
Q96HC4	PDLI5_HUMAN	PDLIM5	PDZ and LIM domain protein 5	1.80666e+07
Q96HE7	ERO1A_HUMAN	ERO1A	ERO1-like protein alpha	1.23112e+07
Q96HF1	SFRP2_HUMAN	SFRP2	Secreted frizzled-related protein 2	595203
Q96HP0	DOCK6_HUMAN	DOCK6	Dedicator of cytokinesis protein 6	742153
Q96HR3	MED30_HUMAN	MED30	Mediator of RNA polymerase II transcription subunit 30	5.17099e+06
Q96HS1	PGAM5_HUMAN	PGAM5	Serine/threonine-protein phosphatase PGAM5, mitochondrial	7.66087e+06
Q96HW7	INT4_HUMAN	INTS4	Integrator complex subunit 4	282490
Q96HY6	DDRGK_HUMAN	DDRGK1	DDRGK domain-containing protein 1	7.77083e+06
Q96HY7	DHTK1_HUMAN	DHTKD1	2-oxoadipate dehydrogenase complex component E1	2.76128e+06
Q96I15	SCLY_HUMAN	SCLY	Selenocysteine lyase	1.04444e+06
Q96I24	FUBP3_HUMAN	FUBP3	Far upstream element-binding protein 3	9.67002e+06
Q96I25	SPF45_HUMAN	RBM17	Splicing factor 45	5.01952e+06
Q96I59	SYNM_HUMAN	NARS2	Probable asparagine--tRNA ligase, mitochondrial	930106
Q96I99	SUCB2_HUMAN	SUCLG2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	1.75992e+07
Q96II8	LRCH3_HUMAN	LRCH3	DISP complex protein LRCH3	827350
Q96IJ6	GMPPA_HUMAN	GMPPA	Mannose-1-phosphate guanyltransferase alpha	5.71662e+06
Q96IU4	ABHEB_HUMAN	ABHD14B	Putative protein-lysine deacylase ABHD14B	3.69854e+07
Q96IV0	NGLY1_HUMAN	NGLY1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	447337
Q96IX5	ATPMK_HUMAN	ATP5MK	ATP synthase membrane subunit K, mitochondrial	2.32859e+06
Q96IY4	CBPB2_HUMAN	CPB2	Carboxypeptidase B2	1.51595e+06
Q96IZ0	PAWR_HUMAN	PAWR	PRKC apoptosis WT1 regulator protein	3.18793e+06
Q96J01	THOC3_HUMAN	THOC3	THO complex subunit 3	4.49246e+06
Q96J02	ITCH_HUMAN	ITCH	E3 ubiquitin-protein ligase Itchy homolog	2.08765e+06
Q96J88	ESIP1_HUMAN	EPSTI1	Epithelial-stromal interaction protein 1	1.00606e+06
Q96JB2	COG3_HUMAN	COG3	Conserved oligomeric Golgi complex subunit 3	1.64864e+06
Q96JB5	CK5P3_HUMAN	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	5.5986e+06
Q96JC1	VPS39_HUMAN	VPS39	Vam6/Vps39-like protein	534680
Q96JD6	AKCL2_HUMAN	AKR1E2	1,5-anhydro-D-fructose reductase	3.57548e+07
Q96JG6	VPS50_HUMAN	VPS50	Syndetin	856638
Q96JH7	VCIP1_HUMAN	VCPIP1	Deubiquitinating protein VCPIP1	1.79536e+06
Q96JI7	SPTCS_HUMAN	SPG11	Spatacsin	829903
Q96JJ3	ELMO2_HUMAN	ELMO2	Engulfment and cell motility protein 2	1.94505e+06
Q96JJ7	TMX3_HUMAN	TMX3	Protein disulfide-isomerase TMX3	6.20954e+06
Q96JK2	DCAF5_HUMAN	DCAF5	DDB1- and CUL4-associated factor 5	6.52091e+06
Q96JM3	CHAP1_HUMAN	CHAMP1	Chromosome alignment-maintaining phosphoprotein 1	1.00323e+06
Q96JP5	ZFP91_HUMAN	ZFP91	E3 ubiquitin-protein ligase ZFP91	2.45024e+06
Q96JY6	PDLI2_HUMAN	PDLIM2	PDZ and LIM domain protein 2	5.54322e+06
Q96K17	BT3L4_HUMAN	BTF3L4	Transcription factor BTF3 homolog 4	1.37401e+07
Q96K19	RN170_HUMAN	RNF170	E3 ubiquitin-protein ligase RNF170	287712
Q96K76	UBP47_HUMAN	USP47	Ubiquitin carboxyl-terminal hydrolase 47	2.4862e+06
Q96KA5	CLP1L_HUMAN	CLPTM1L	Lipid scramblase CLPTM1L	1.62455e+06
Q96KC8	DNJC1_HUMAN	DNAJC1	DnaJ homolog subfamily C member 1	854119
Q96KG9	SCYL1_HUMAN	SCYL1	N-terminal kinase-like protein	6.50363e+06
Q96KP1	EXOC2_HUMAN	EXOC2	Exocyst complex component 2	7.73916e+06
Q96KP4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase	4.41567e+07
Q96KQ7	EHMT2_HUMAN	EHMT2	Histone-lysine N-methyltransferase EHMT2	832321
Q96KR1	ZFR_HUMAN	ZFR	Zinc finger RNA-binding protein	1.46917e+07
Q96L46	CPNS2_HUMAN	CAPNS2	Calpain small subunit 2	849145
Q96L92	SNX27_HUMAN	SNX27	Sorting nexin-27	6.5023e+06
Q96LD4	TRI47_HUMAN	TRIM47	E3 ubiquitin-protein ligase TRIM47	4.18096e+06
Q96LI5	CNO6L_HUMAN	CNOT6L	CCR4-NOT transcription complex subunit 6-like	1.66255e+06
Q96LJ7	DHRS1_HUMAN	DHRS1	Dehydrogenase/reductase SDR family member 1	1.244e+06
Q96M27	PRRC1_HUMAN	PRRC1	Protein PRRC1	1.11807e+07
Q96ME1	FXL18_HUMAN	FBXL18	F-box/LRR-repeat protein 18	216421
Q96ME7	ZN512_HUMAN	ZNF512	Zinc finger protein 512	1.4476e+06
Q96MF7	NSE2_HUMAN	NSMCE2	E3 SUMO-protein ligase NSE2	676742
Q96MH6	TMM68_HUMAN	TMEM68	Monoacylglycerol/Diacylglycerol O-acyltransferase	718782
Q96MM6	HS12B_HUMAN	HSPA12B	Heat shock 70 kDa protein 12B	1.90362e+06
Q96MU7	YTDC1_HUMAN	YTHDC1	YTH domain-containing protein 1	3.15413e+06
Q96MW1	CCD43_HUMAN	CCDC43	Coiled-coil domain-containing protein 43	692949
Q96MW5	COG8_HUMAN	COG8	Conserved oligomeric Golgi complex subunit 8	3.52332e+06
Q96MX6	DAA10_HUMAN	DNAAF10	Dynein axonemal assembly factor 10	1.1561e+06
Q96N66	MBOA7_HUMAN	MBOAT7	Lysophospholipid acyltransferase 7	5.66871e+06
Q96N67	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7	4.2584e+06
Q96NE9	FRMD6_HUMAN	FRMD6	FERM domain-containing protein 6	568712
Q96NT0	CC115_HUMAN	CCDC115	Coiled-coil domain-containing protein 115	258514
Q96NY7	CLIC6_HUMAN	CLIC6	Chloride intracellular channel protein 6	4.41641e+06
Q96NY8	NECT4_HUMAN	NECTIN4	Nectin-4	2.1576e+06
Q96P11	NSUN5_HUMAN	NSUN5	28S rRNA (cytosine-C(5))-methyltransferase	142211
Q96P16	RPR1A_HUMAN	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A	2.74611e+06
Q96P44	COLA1_HUMAN	COL21A1	Collagen alpha-1(XXI) chain	3.38549e+06
Q96P47	AGAP3_HUMAN	AGAP3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3	294160
Q96P48	ARAP1_HUMAN	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	1.11124e+08
Q96P70	IPO9_HUMAN	IPO9	Importin-9	4.22667e+06
Q96PC5	MIA2_HUMAN	MIA2	Melanoma inhibitory activity protein 2	1.21147e+07
Q96PD5	PGRP2_HUMAN	PGLYRP2	N-acetylmuramoyl-L-alanine amidase	1.99738e+06
Q96PE3	INP4A_HUMAN	INPP4A	Inositol polyphosphate-4-phosphatase type I A	729860
Q96PK6	RBM14_HUMAN	RBM14	RNA-binding protein 14	1.88704e+07
Q96PP8	GBP5_HUMAN	GBP5	Guanylate-binding protein 5	5.30015e+06
Q96PP9	GBP4_HUMAN	GBP4	Guanylate-binding protein 4	9.40044e+06
Q96PU5	NED4L_HUMAN	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like	1.01949e+06
Q96PU8	QKI_HUMAN	QKI	KH domain-containing RNA-binding protein QKI	1.1711e+07
Q96PZ0	PUS7_HUMAN	PUS7	Pseudouridylate synthase 7 homolog	1.00876e+06
Q96Q05	TPPC9_HUMAN	TRAPPC9	Trafficking protein particle complex subunit 9	2.72151e+06
Q96Q11	TRNT1_HUMAN	TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial	3.23582e+06
Q96Q80	DERL3_HUMAN	DERL3	Derlin-3	2.03589e+06
Q96QC0	PP1RA_HUMAN	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	659632
Q96QD9	UIF_HUMAN	FYTTD1	UAP56-interacting factor	2.13493e+06
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35	4.2348e+07
Q96QR8	PURB_HUMAN	PURB	Transcriptional activator protein Pur-beta	4.0553e+06
Q96RE7	NACC1_HUMAN	NACC1	Nucleus accumbens-associated protein 1	9.7766e+06
Q96RF0	SNX18_HUMAN	SNX18	Sorting nexin-18	3.88222e+06
Q96RP9	EFGM_HUMAN	GFM1	Elongation factor G, mitochondrial	1.34134e+07
Q96RQ1	ERGI2_HUMAN	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	2.45201e+06
Q96RQ3	MCCA_HUMAN	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	3.20582e+06
Q96RQ9	OXLA_HUMAN	IL4I1	L-amino-acid oxidase	4.77705e+06
Q96RS6	NUDC1_HUMAN	NUDCD1	NudC domain-containing protein 1	5.58797e+06
Q96RT1	ERBIN_HUMAN	ERBIN	Erbin	2.24563e+06
Q96RT7	GCP6_HUMAN	TUBGCP6	Gamma-tubulin complex component 6	5.53514e+06
Q96RU3	FNBP1_HUMAN	FNBP1	Formin-binding protein 1	1.06601e+07
Q96S19	MTL26_HUMAN	METTL26	Methyltransferase-like 26	2.78338e+06
Q96S44	PRPK_HUMAN	TP53RK	EKC/KEOPS complex subunit TP53RK	3.4076e+06
Q96S52	PIGS_HUMAN	PIGS	GPI transamidase component PIG-S	1.61772e+06
Q96S55	WRIP1_HUMAN	WRNIP1	ATPase WRNIP1	1.87104e+06
Q96S59	RANB9_HUMAN	RANBP9	Ran-binding protein 9	376939
Q96S66	CLCC1_HUMAN	CLCC1	Chloride channel CLIC-like protein 1	2.10027e+06
Q96S82	UBL7_HUMAN	UBL7	Ubiquitin-like protein 7	333036
Q96S86	HPLN3_HUMAN	HAPLN3	Hyaluronan and proteoglycan link protein 3	1.26364e+06
Q96S97	MYADM_HUMAN	MYADM	Myeloid-associated differentiation marker	4.36957e+06
Q96S99	PKHF1_HUMAN	PLEKHF1	Pleckstrin homology domain-containing family F member 1	2.197e+06
Q96SB3	NEB2_HUMAN	PPP1R9B	Neurabin-2	4.66085e+06
Q96SB4	SRPK1_HUMAN	SRPK1	SRSF protein kinase 1	3.0333e+06
Q96SI9	STRBP_HUMAN	STRBP	Spermatid perinuclear RNA-binding protein	1.53e+06
Q96SL4	GPX7_HUMAN	GPX7	Glutathione peroxidase 7	2.38178e+06
Q96SM3	CPXM1_HUMAN	CPXM1	Probable carboxypeptidase X1	2.78535e+06
Q96SQ9	CP2S1_HUMAN	CYP2S1	Cytochrome P450 2S1	1.84316e+06
Q96ST2	IWS1_HUMAN	IWS1	Protein IWS1 homolog	1.44117e+06
Q96ST3	SIN3A_HUMAN	SIN3A	Paired amphipathic helix protein Sin3a	2.30579e+06
Q96SU4	OSBL9_HUMAN	OSBPL9	Oxysterol-binding protein-related protein 9	2.08413e+06
Q96SW2	CRBN_HUMAN	CRBN	Protein cereblon	726860
Q96T23	RSF1_HUMAN	RSF1	Remodeling and spacing factor 1	2.17062e+06
Q96T37	RBM15_HUMAN	RBM15	RNA-binding protein 15	3.37077e+06
Q96T51	RUFY1_HUMAN	RUFY1	RUN and FYVE domain-containing protein 1	3.12515e+06
Q96T58	MINT_HUMAN	SPEN	Msx2-interacting protein	1.30511e+06
Q96T60	PNKP_HUMAN	PNKP	Bifunctional polynucleotide phosphatase/kinase	2.42339e+06
Q96T76	MMS19_HUMAN	MMS19	MMS19 nucleotide excision repair protein homolog	2.23082e+06
Q96T88	UHRF1_HUMAN	UHRF1	E3 ubiquitin-protein ligase UHRF1	661263
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	1.44618e+07
Q96TC7	RMD3_HUMAN	RMDN3	Regulator of microtubule dynamics protein 3	3.17991e+06
Q99102	MUC4_HUMAN	MUC4	Mucin-4	3.23889e+06
Q99418	CYH2_HUMAN	CYTH2	Cytohesin-2	2.55296e+06
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B	1.39475e+07
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	1.11159e+07
Q99439	CNN2_HUMAN	CNN2	Calponin-2	2.67468e+07
Q99447	PCY2_HUMAN	PCYT2	Ethanolamine-phosphate cytidylyltransferase	1.02538e+06
Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	2.45305e+07
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	1.19169e+07
Q99470	SDF2_HUMAN	SDF2	Stromal cell-derived factor 2	2.48176e+06
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	3.37591e+06
Q99490	AGAP2_HUMAN	AGAP2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	329487
Q99496	RING2_HUMAN	RNF2	E3 ubiquitin-protein ligase RING2	800314
Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	4.74897e+07
Q99519	NEUR1_HUMAN	NEU1	Sialidase-1	1.60097e+06
Q99523	SORT_HUMAN	SORT1	Sortilin	717101
Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	1.59341e+07
Q99538	LGMN_HUMAN	LGMN	Legumain	5.45793e+06
Q99543	DNJC2_HUMAN	DNAJC2	DnaJ homolog subfamily C member 2	1.86042e+06
Q99567	NUP88_HUMAN	NUP88	Nuclear pore complex protein Nup88	5.57359e+06
Q99569	PKP4_HUMAN	PKP4	Plakophilin-4	1.23709e+06
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	2.27994e+06
Q99575	POP1_HUMAN	POP1	Ribonucleases P/MRP protein subunit POP1	982433
Q99584	S10AD_HUMAN	S100A13	Protein S100-A13	1.38951e+07
Q99590	SCAFB_HUMAN	SCAF11	Protein SCAF11	1.58122e+06
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X	7.53146e+06
Q99613	EIF3C_HUMAN	EIF3C	Eukaryotic translation initiation factor 3 subunit C	1.55305e+07
Q99614	TTC1_HUMAN	TTC1	Tetratricopeptide repeat protein 1	6.23671e+06
Q99615	DNJC7_HUMAN	DNAJC7	DnaJ homolog subfamily C member 7	7.29082e+06
Q99622	C10_HUMAN	C12orf57	Protein C10	1.09248e+06
Q99623	PHB2_HUMAN	PHB2	Prohibitin-2	3.60278e+07
Q99627	CSN8_HUMAN	COPS8	COP9 signalosome complex subunit 8	1.80599e+07
Q99638	RAD9A_HUMAN	RAD9A	Cell cycle checkpoint control protein RAD9A	480562
Q99653	CHP1_HUMAN	CHP1	Calcineurin B homologous protein 1	3.95956e+06
Q99683	M3K5_HUMAN	MAP3K5	Mitogen-activated protein kinase kinase kinase 5	872005
Q99685	MGLL_HUMAN	MGLL	Monoglyceride lipase	233339
Q99700	ATX2_HUMAN	ATXN2	Ataxin-2	1.19253e+06
Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	2.83884e+07
Q99715	COCA1_HUMAN	COL12A1	Collagen alpha-1(XII) chain	5.62342e+07
Q99720	SGMR1_HUMAN	SIGMAR1	Sigma non-opioid intracellular receptor 1	3.24153e+06
Q99729	ROAA_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	3.13228e+07
Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4	3.00994e+07
Q99735	MGST2_HUMAN	MGST2	Microsomal glutathione S-transferase 2	5.30698e+06
Q99747	SNAG_HUMAN	NAPG	Gamma-soluble NSF attachment protein	1.78806e+06
Q99757	THIOM_HUMAN	TXN2	Thioredoxin, mitochondrial	2.33305e+06
Q99766	ATP5S_HUMAN	DMAC2L	ATP synthase subunit s, mitochondrial	1.10755e+06
Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	2.83473e+07
Q99805	TM9S2_HUMAN	TM9SF2	Transmembrane 9 superfamily member 2	2.04208e+06
