Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
Q96DX5	ASB9_HUMAN	ASB9	Ankyrin repeat and SOCS box protein 9	2.321e+06
Q96E11	RRFM_HUMAN	MRRF	Ribosome-recycling factor, mitochondrial	6.45902e+06
Q96E29	MTEF3_HUMAN	MTERF3	Transcription termination factor 3, mitochondrial	2.60531e+06
Q96E39	RMXL1_HUMAN	RBMXL1	RNA binding motif protein, X-linked-like-1	2.04971e+07
Q96ED9	HOOK2_HUMAN	HOOK2	Protein Hook homolog 2	1.08776e+07
Q96EE3	SEH1_HUMAN	SEH1L	Nucleoporin SEH1	1.05787e+07
Q96EE4	CC126_HUMAN	CCDC126	Coiled-coil domain-containing protein 126	406751
Q96EI5	TCAL4_HUMAN	TCEAL4	Transcription elongation factor A protein-like 4	4.47359e+06
Q96EK5	KBP_HUMAN	KIFBP	KIF-binding protein	4.0229e+06
Q96EK6	GNA1_HUMAN	GNPNAT1	Glucosamine 6-phosphate N-acetyltransferase	1.02251e+07
Q96EK7	F120B_HUMAN	FAM120B	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	2.51704e+06
Q96EK9	KTI12_HUMAN	KTI12	Protein KTI12 homolog	7.67921e+06
Q96EL2	RT24_HUMAN	MRPS24	Small ribosomal subunit protein uS3m	5.4147e+06
Q96EL3	RM53_HUMAN	MRPL53	Large ribosomal subunit protein mL53	6.74046e+06
Q96EM0	T3HPD_HUMAN	L3HYPDH	Trans-3-hydroxy-L-proline dehydratase	1.41763e+06
Q96EP0	RNF31_HUMAN	RNF31	E3 ubiquitin-protein ligase RNF31	1.21559e+06
Q96EP5	DAZP1_HUMAN	DAZAP1	DAZ-associated protein 1	4.44661e+07
Q96EQ0	SGTB_HUMAN	SGTB	Small glutamine-rich tetratricopeptide repeat-containing protein beta	2.22411e+06
Q96ER9	MITOK_HUMAN	CCDC51	Mitochondrial potassium channel	5.13429e+06
Q96ES7	SGF29_HUMAN	SGF29	SAGA-associated factor 29	2.91964e+06
Q96EU6	RRP36_HUMAN	RRP36	Ribosomal RNA processing protein 36 homolog	3.67715e+06
Q96EV2	RBM33_HUMAN	RBM33	RNA-binding protein 33	9.20951e+06
Q96EV8	DTBP1_HUMAN	DTNBP1	Dysbindin	2.88505e+06
Q96EY1	DNJA3_HUMAN	DNAJA3	DnaJ homolog subfamily A member 3, mitochondrial	2.86912e+07
Q96EY4	TMA16_HUMAN	TMA16	Translation machinery-associated protein 16	5.77038e+06
Q96EY5	MB12A_HUMAN	MVB12A	Multivesicular body subunit 12A	3.11958e+06
Q96EY7	PTCD3_HUMAN	PTCD3	Small ribosomal subunit protein mS39	1.4846e+07
Q96EY8	MMAB_HUMAN	MMAB	Corrinoid adenosyltransferase MMAB	1.1849e+07
Q96F07	CYFP2_HUMAN	CYFIP2	Cytoplasmic FMR1-interacting protein 2	3.59604e+06
Q96F63	CCD97_HUMAN	CCDC97	Coiled-coil domain-containing protein 97	7.18951e+06
Q96F86	EDC3_HUMAN	EDC3	Enhancer of mRNA-decapping protein 3	5.67277e+06
Q96FC9	DDX11_HUMAN	DDX11	ATP-dependent DNA helicase DDX11	2.35127e+06
Q96FF9	CDCA5_HUMAN	CDCA5	Sororin	1.23009e+06
Q96FJ2	DYL2_HUMAN	DYNLL2	Dynein light chain 2, cytoplasmic	2.04572e+07
Q96FK6	WDR89_HUMAN	WDR89	WD repeat-containing protein 89	1.43291e+06
Q96FN4	CPNE2_HUMAN	CPNE2	Copine-2	575141
Q96FN9	DTD2_HUMAN	DTD2	D-aminoacyl-tRNA deacylase 2	1.2236e+06
Q96FQ6	S10AG_HUMAN	S100A16	Protein S100-A16	6.80119e+06
Q96FS4	SIPA1_HUMAN	SIPA1	Signal-induced proliferation-associated protein 1	1.08042e+07
Q96FV2	SCRN2_HUMAN	SCRN2	Secernin-2	1.55325e+07
Q96FV9	THOC1_HUMAN	THOC1	THO complex subunit 1	1.02678e+07
Q96FW1	OTUB1_HUMAN	OTUB1	Ubiquitin thioesterase OTUB1	7.02409e+07
Q96FX7	TRM61_HUMAN	TRMT61A	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	4.16449e+06
Q96FZ2	HMCES_HUMAN	HMCES	Abasic site processing protein HMCES	6.72984e+06
Q96FZ7	CHMP6_HUMAN	CHMP6	Charged multivesicular body protein 6	3.21459e+06
Q96G03	PGM2_HUMAN	PGM2	Phosphopentomutase	3.28901e+07
Q96G21	IMP4_HUMAN	IMP4	U3 small nucleolar ribonucleoprotein protein IMP4	1.4264e+07
Q96G23	CERS2_HUMAN	CERS2	Ceramide synthase 2	1.19599e+07
Q96G25	MED8_HUMAN	MED8	Mediator of RNA polymerase II transcription subunit 8	3.53976e+06
Q96G28	CFA36_HUMAN	CFAP36	Cilia- and flagella-associated protein 36	874007
Q96G46	DUS3L_HUMAN	DUS3L	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	1.81598e+06
Q96GA3	LTV1_HUMAN	LTV1	Protein LTV1 homolog	3.1648e+06
Q96GC5	RM48_HUMAN	MRPL48	Large ribosomal subunit protein mL48	1.31869e+07
Q96GD0	PLPP_HUMAN	PDXP	Chronophin	1.08723e+07
Q96GD4	AURKB_HUMAN	AURKB	Aurora kinase B	4.19009e+06
Q96GG9	DCNL1_HUMAN	DCUN1D1	DCN1-like protein 1	4.67072e+06
Q96GK7	FAH2A_HUMAN	FAHD2A	Fumarylacetoacetate hydrolase domain-containing protein 2A	1.15638e+07
Q96GM5	SMRD1_HUMAN	SMARCD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	9.11711e+06
Q96GM8	TOE1_HUMAN	TOE1	Target of EGR1 protein 1	1.30525e+07
Q96GP6	SREC2_HUMAN	SCARF2	Scavenger receptor class F member 2	5.92921e+06
Q96GQ5	RUSF1_HUMAN	RUSF1	RUS family member 1	1.35673e+06
Q96GQ7	DDX27_HUMAN	DDX27	Probable ATP-dependent RNA helicase DDX27	2.30053e+07
Q96GW9	SYMM_HUMAN	MARS2	Methionine--tRNA ligase, mitochondrial	2.5478e+06
Q96GX2	A7L3B_HUMAN	ATXN7L3B	Ataxin-7-like protein 3B	1.39069e+07
Q96GX9	MTNB_HUMAN	APIP	Methylthioribulose-1-phosphate dehydratase	7.27627e+06
Q96GY0	ZC21A_HUMAN	ZC2HC1A	Zinc finger C2HC domain-containing protein 1A	2.18136e+06
Q96H20	SNF8_HUMAN	SNF8	Vacuolar-sorting protein SNF8	4.3247e+06
Q96H55	MYO19_HUMAN	MYO19	Unconventional myosin-XIX	447315
Q96H79	ZCCHL_HUMAN	ZC3HAV1L	Zinc finger CCCH-type antiviral protein 1-like	1.9845e+07
Q96HA7	TONSL_HUMAN	TONSL	Tonsoku-like protein	3.34517e+06
Q96HA8	NTAQ1_HUMAN	NTAQ1	Protein N-terminal glutamine amidohydrolase	1.31876e+06
Q96HC4	PDLI5_HUMAN	PDLIM5	PDZ and LIM domain protein 5	8.99334e+06
Q96HD1	CREL1_HUMAN	CRELD1	Protein disulfide isomerase CRELD1	5.32199e+06
Q96HE7	ERO1A_HUMAN	ERO1A	ERO1-like protein alpha	2.99069e+07
Q96HP0	DOCK6_HUMAN	DOCK6	Dedicator of cytokinesis protein 6	2.2344e+06
Q96HP4	OXND1_HUMAN	OXNAD1	Oxidoreductase NAD-binding domain-containing protein 1	1.36821e+06
Q96HQ2	C2AIL_HUMAN	CDKN2AIPNL	CDKN2AIP N-terminal-like protein	5.59616e+06
Q96HR3	MED30_HUMAN	MED30	Mediator of RNA polymerase II transcription subunit 30	5.30668e+06
Q96HR8	NAF1_HUMAN	NAF1	H/ACA ribonucleoprotein complex non-core subunit NAF1	1.22064e+06
Q96HS1	PGAM5_HUMAN	PGAM5	Serine/threonine-protein phosphatase PGAM5, mitochondrial	7.63062e+07
Q96HU1	SGSM3_HUMAN	SGSM3	Small G protein signaling modulator 3	263930
Q96HW7	INT4_HUMAN	INTS4	Integrator complex subunit 4	6.41087e+06
Q96HY6	DDRGK_HUMAN	DDRGK1	DDRGK domain-containing protein 1	2.00224e+07
Q96HY7	DHTK1_HUMAN	DHTKD1	2-oxoadipate dehydrogenase complex component E1	1.2567e+07
Q96I15	SCLY_HUMAN	SCLY	Selenocysteine lyase	1.62972e+06
Q96I24	FUBP3_HUMAN	FUBP3	Far upstream element-binding protein 3	2.69999e+07
Q96I25	SPF45_HUMAN	RBM17	Splicing factor 45	1.92908e+07
Q96I51	RCC1L_HUMAN	RCC1L	RCC1-like G exchanging factor-like protein	8.75444e+06
Q96I59	SYNM_HUMAN	NARS2	Probable asparagine--tRNA ligase, mitochondrial	2.0301e+07
Q96I99	SUCB2_HUMAN	SUCLG2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	3.01477e+07
Q96IG2	FXL20_HUMAN	FBXL20	F-box/LRR-repeat protein 20	1.06144e+06
Q96II8	LRCH3_HUMAN	LRCH3	DISP complex protein LRCH3	2.18416e+06
Q96IJ6	GMPPA_HUMAN	GMPPA	Mannose-1-phosphate guanyltransferase alpha	3.48312e+06
Q96IK1	BOD1_HUMAN	BOD1	Biorientation of chromosomes in cell division protein 1	3.52391e+06
Q96IR7	HPDL_HUMAN	HPDL	4-hydroxyphenylpyruvate dioxygenase-like protein	2.50996e+06
Q96IU4	ABHEB_HUMAN	ABHD14B	Putative protein-lysine deacylase ABHD14B	4.66788e+07
Q96IV0	NGLY1_HUMAN	NGLY1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	328794
Q96IX5	ATPMK_HUMAN	ATP5MK	ATP synthase membrane subunit K, mitochondrial	5.6876e+06
Q96IY4	CBPB2_HUMAN	CPB2	Carboxypeptidase B2	4.19356e+06
Q96IZ0	PAWR_HUMAN	PAWR	PRKC apoptosis WT1 regulator protein	8.03009e+06
Q96IZ7	RSRC1_HUMAN	RSRC1	Serine/Arginine-related protein 53	3.70814e+06
Q96J01	THOC3_HUMAN	THOC3	THO complex subunit 3	2.01057e+07
Q96J02	ITCH_HUMAN	ITCH	E3 ubiquitin-protein ligase Itchy homolog	2.1268e+06
Q96JA1	LRIG1_HUMAN	LRIG1	Leucine-rich repeats and immunoglobulin-like domains protein 1	2.01487e+06
Q96JB2	COG3_HUMAN	COG3	Conserved oligomeric Golgi complex subunit 3	3.90007e+06
Q96JB5	CK5P3_HUMAN	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	9.72399e+06
Q96JD6	AKCL2_HUMAN	AKR1E2	1,5-anhydro-D-fructose reductase	5.10887e+07
Q96JG6	VPS50_HUMAN	VPS50	Syndetin	1.52081e+06
Q96JH7	VCIP1_HUMAN	VCPIP1	Deubiquitinating protein VCPIP1	7.98327e+06
Q96JJ3	ELMO2_HUMAN	ELMO2	Engulfment and cell motility protein 2	2.12714e+06
Q96JJ7	TMX3_HUMAN	TMX3	Protein disulfide-isomerase TMX3	2.03694e+07
Q96JK2	DCAF5_HUMAN	DCAF5	DDB1- and CUL4-associated factor 5	1.79893e+06
Q96JM3	CHAP1_HUMAN	CHAMP1	Chromosome alignment-maintaining phosphoprotein 1	5.30264e+06
Q96JP5	ZFP91_HUMAN	ZFP91	E3 ubiquitin-protein ligase ZFP91	5.75705e+06
Q96JQ0	PCD16_HUMAN	DCHS1	Protocadherin-16	3.04694e+06
Q96K17	BT3L4_HUMAN	BTF3L4	Transcription factor BTF3 homolog 4	7.47094e+07
Q96K19	RN170_HUMAN	RNF170	E3 ubiquitin-protein ligase RNF170	354262
Q96K21	ANCHR_HUMAN	ZFYVE19	Abscission/NoCut checkpoint regulator	1.21927e+06
Q96K76	UBP47_HUMAN	USP47	Ubiquitin carboxyl-terminal hydrolase 47	1.28514e+07
Q96KA5	CLP1L_HUMAN	CLPTM1L	Lipid scramblase CLPTM1L	2.23623e+06
Q96KB5	TOPK_HUMAN	PBK	Lymphokine-activated killer T-cell-originated protein kinase	1.48074e+06
Q96KG9	SCYL1_HUMAN	SCYL1	N-terminal kinase-like protein	9.7295e+06
Q96KM6	Z512B_HUMAN	ZNF512B	Zinc finger protein 512B	1.25382e+06
Q96KN1	LRAT2_HUMAN	LRATD2	Protein LRATD2	6.95657e+06
Q96KN2	CNDP1_HUMAN	CNDP1	Beta-Ala-His dipeptidase	4.90591e+06
Q96KP1	EXOC2_HUMAN	EXOC2	Exocyst complex component 2	4.24491e+06
Q96KP4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase	6.57113e+07
Q96KQ7	EHMT2_HUMAN	EHMT2	Histone-lysine N-methyltransferase EHMT2	1.04842e+07
Q96KR1	ZFR_HUMAN	ZFR	Zinc finger RNA-binding protein	1.2937e+07
Q96L58	B3GT6_HUMAN	B3GALT6	Beta-1,3-galactosyltransferase 6	1.57272e+06
Q96L91	EP400_HUMAN	EP400	E1A-binding protein p400	2.07457e+06
Q96L92	SNX27_HUMAN	SNX27	Sorting nexin-27	1.98268e+07
Q96LA8	ANM6_HUMAN	PRMT6	Protein arginine N-methyltransferase 6	6.28898e+07
Q96LB3	IFT74_HUMAN	IFT74	Intraflagellar transport protein 74 homolog	1.17689e+06
Q96LD4	TRI47_HUMAN	TRIM47	E3 ubiquitin-protein ligase TRIM47	2.51005e+06
Q96LI5	CNO6L_HUMAN	CNOT6L	CCR4-NOT transcription complex subunit 6-like	2.47006e+06
Q96LT9	RNPC3_HUMAN	RNPC3	RNA-binding region-containing protein 3	1.99605e+06
Q96M27	PRRC1_HUMAN	PRRC1	Protein PRRC1	1.86381e+07
Q96M96	FGD4_HUMAN	FGD4	FYVE, RhoGEF and PH domain-containing protein 4	2.17069e+06
Q96ME1	FXL18_HUMAN	FBXL18	F-box/LRR-repeat protein 18	1.11372e+06
Q96ME7	ZN512_HUMAN	ZNF512	Zinc finger protein 512	5.07464e+06
Q96MG7	NSE3_HUMAN	NSMCE3	Non-structural maintenance of chromosomes element 3 homolog	2.28896e+06
Q96MG8	PCMD1_HUMAN	PCMTD1	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1	1.12858e+07
Q96MH6	TMM68_HUMAN	TMEM68	Monoacylglycerol/Diacylglycerol O-acyltransferase	1.03581e+07
Q96MU7	YTDC1_HUMAN	YTHDC1	YTH domain-containing protein 1	1.63887e+07
Q96MW1	CCD43_HUMAN	CCDC43	Coiled-coil domain-containing protein 43	6.8434e+07
Q96MW5	COG8_HUMAN	COG8	Conserved oligomeric Golgi complex subunit 8	3.11861e+06
Q96MX6	DAA10_HUMAN	DNAAF10	Dynein axonemal assembly factor 10	5.66061e+06
Q96N66	MBOA7_HUMAN	MBOAT7	Lysophospholipid acyltransferase 7	6.58674e+06
Q96N67	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7	5.09094e+07
Q96NB3	ZN830_HUMAN	ZNF830	Zinc finger protein 830	1.85689e+06
Q96NC0	ZMAT2_HUMAN	ZMAT2	Zinc finger matrin-type protein 2	6.19672e+06
Q96NW4	ANR27_HUMAN	ANKRD27	Ankyrin repeat domain-containing protein 27	2.6692e+06
Q96NY7	CLIC6_HUMAN	CLIC6	Chloride intracellular channel protein 6	3.68529e+06
Q96NY8	NECT4_HUMAN	NECTIN4	Nectin-4	3.98166e+06
Q96P11	NSUN5_HUMAN	NSUN5	28S rRNA (cytosine-C(5))-methyltransferase	2.99543e+06
Q96P16	RPR1A_HUMAN	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A	1.28997e+07
Q96P47	AGAP3_HUMAN	AGAP3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3	5.47492e+06
Q96P48	ARAP1_HUMAN	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	3.45649e+06
Q96P70	IPO9_HUMAN	IPO9	Importin-9	2.25925e+07
Q96PC3	AP1S3_HUMAN	AP1S3	AP-1 complex subunit sigma-3	983763
Q96PC5	MIA2_HUMAN	MIA2	Melanoma inhibitory activity protein 2	2.09149e+06
Q96PD5	PGRP2_HUMAN	PGLYRP2	N-acetylmuramoyl-L-alanine amidase	6.40265e+06
Q96PE3	INP4A_HUMAN	INPP4A	Inositol polyphosphate-4-phosphatase type I A	1.56533e+06
Q96PE7	MCEE_HUMAN	MCEE	Methylmalonyl-CoA epimerase, mitochondrial	2.09232e+06
Q96PK6	RBM14_HUMAN	RBM14	RNA-binding protein 14	4.00196e+07
Q96PU5	NED4L_HUMAN	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like	2.62056e+06
Q96PU8	QKI_HUMAN	QKI	KH domain-containing RNA-binding protein QKI	1.87674e+07
Q96PV6	LENG8_HUMAN	LENG8	Leukocyte receptor cluster member 8	5.36728e+06
Q96PY5	FMNL2_HUMAN	FMNL2	Formin-like protein 2	4.15016e+06
Q96PZ0	PUS7_HUMAN	PUS7	Pseudouridylate synthase 7 homolog	1.97759e+07
Q96Q11	TRNT1_HUMAN	TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial	5.34172e+06
Q96Q15	SMG1_HUMAN	SMG1	Serine/threonine-protein kinase SMG1	1.98009e+06
Q96QC0	PP1RA_HUMAN	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	4.71449e+06
Q96QD9	UIF_HUMAN	FYTTD1	UAP56-interacting factor	3.95117e+06
Q96QE5	TEFM_HUMAN	TEFM	Transcription elongation factor, mitochondrial	2.386e+06
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35	8.73643e+07
Q96QR8	PURB_HUMAN	PURB	Transcriptional activator protein Pur-beta	8.67513e+06
Q96QU8	XPO6_HUMAN	XPO6	Exportin-6	1.64315e+06
Q96RE7	NACC1_HUMAN	NACC1	Nucleus accumbens-associated protein 1	8.28523e+06
Q96RF0	SNX18_HUMAN	SNX18	Sorting nexin-18	2.87056e+06
Q96RK0	CIC_HUMAN	CIC	Protein capicua homolog	2.94996e+06
Q96RN5	MED15_HUMAN	MED15	Mediator of RNA polymerase II transcription subunit 15	7.86053e+06
Q96RP9	EFGM_HUMAN	GFM1	Elongation factor G, mitochondrial	2.53349e+07
Q96RQ1	ERGI2_HUMAN	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	7.85238e+06
Q96RQ3	MCCA_HUMAN	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	2.5432e+07
Q96RQ9	OXLA_HUMAN	IL4I1	L-amino-acid oxidase	6.78885e+06
Q96RR1	PEO1_HUMAN	TWNK	Twinkle mtDNA helicase	1.01544e+07
Q96RR4	KKCC2_HUMAN	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2	2.00694e+06
Q96RS0	TGS1_HUMAN	TGS1	Trimethylguanosine synthase	3.81785e+06
Q96RS6	NUDC1_HUMAN	NUDCD1	NudC domain-containing protein 1	3.88203e+07
Q96RT1	ERBIN_HUMAN	ERBIN	Erbin	3.54945e+06
Q96RT7	GCP6_HUMAN	TUBGCP6	Gamma-tubulin complex component 6	861325
Q96RU2	UBP28_HUMAN	USP28	Ubiquitin carboxyl-terminal hydrolase 28	4.52754e+06
Q96RY7	IF140_HUMAN	IFT140	Intraflagellar transport protein 140 homolog	1.76729e+06
Q96S19	MTL26_HUMAN	METTL26	Methyltransferase-like 26	1.4619e+06
Q96S44	PRPK_HUMAN	TP53RK	EKC/KEOPS complex subunit TP53RK	1.17236e+07
Q96S52	PIGS_HUMAN	PIGS	GPI transamidase component PIG-S	4.31875e+06
Q96S55	WRIP1_HUMAN	WRNIP1	ATPase WRNIP1	3.16216e+07
Q96S59	RANB9_HUMAN	RANBP9	Ran-binding protein 9	4.41453e+06
Q96S66	CLCC1_HUMAN	CLCC1	Chloride channel CLIC-like protein 1	3.87281e+06
Q96S82	UBL7_HUMAN	UBL7	Ubiquitin-like protein 7	7.86531e+06
Q96S90	LYSM1_HUMAN	LYSMD1	LysM and putative peptidoglycan-binding domain-containing protein 1	3.04405e+06
Q96S97	MYADM_HUMAN	MYADM	Myeloid-associated differentiation marker	4.53156e+06
Q96SB3	NEB2_HUMAN	PPP1R9B	Neurabin-2	8.71617e+06
Q96SB4	SRPK1_HUMAN	SRPK1	SRSF protein kinase 1	1.356e+07
Q96SB8	SMC6_HUMAN	SMC6	Structural maintenance of chromosomes protein 6	1.82355e+06
Q96SI9	STRBP_HUMAN	STRBP	Spermatid perinuclear RNA-binding protein	8.4858e+06
Q96SK2	TM209_HUMAN	TMEM209	Transmembrane protein 209	3.33562e+06
Q96SL4	GPX7_HUMAN	GPX7	Glutathione peroxidase 7	4.29571e+06
Q96SM3	CPXM1_HUMAN	CPXM1	Probable carboxypeptidase X1	2.07666e+06
Q96SQ9	CP2S1_HUMAN	CYP2S1	Cytochrome P450 2S1	667554
Q96ST2	IWS1_HUMAN	IWS1	Protein IWS1 homolog	1.00375e+07
Q96ST3	SIN3A_HUMAN	SIN3A	Paired amphipathic helix protein Sin3a	9.52088e+06
Q96SU4	OSBL9_HUMAN	OSBPL9	Oxysterol-binding protein-related protein 9	8.5859e+06
Q96SW2	CRBN_HUMAN	CRBN	Protein cereblon	1.1718e+06
Q96SY0	INT14_HUMAN	INTS14	Integrator complex subunit 14	2.71936e+06
Q96SZ5	AEDO_HUMAN	ADO	2-aminoethanethiol dioxygenase	3.59141e+06
Q96SZ6	CK5P1_HUMAN	CDK5RAP1	Mitochondrial tRNA methylthiotransferase CDK5RAP1	859170
Q96T17	MA7D2_HUMAN	MAP7D2	MAP7 domain-containing protein 2	5.18484e+06
Q96T23	RSF1_HUMAN	RSF1	Remodeling and spacing factor 1	8.6676e+07
Q96T37	RBM15_HUMAN	RBM15	RNA-binding protein 15	1.51822e+07
Q96T51	RUFY1_HUMAN	RUFY1	RUN and FYVE domain-containing protein 1	7.41634e+06
Q96T58	MINT_HUMAN	SPEN	Msx2-interacting protein	3.42984e+06
Q96T60	PNKP_HUMAN	PNKP	Bifunctional polynucleotide phosphatase/kinase	1.23874e+07
Q96T76	MMS19_HUMAN	MMS19	MMS19 nucleotide excision repair protein homolog	6.22926e+06
Q96T88	UHRF1_HUMAN	UHRF1	E3 ubiquitin-protein ligase UHRF1	3.63664e+06
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	1.57301e+07
Q96TA2	YMEL1_HUMAN	YME1L1	ATP-dependent zinc metalloprotease YME1L1	3.52489e+06
Q96TC7	RMD3_HUMAN	RMDN3	Regulator of microtubule dynamics protein 3	6.99296e+06
Q99081	HTF4_HUMAN	TCF12	Transcription factor 12	2.36679e+06
Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	7.45424e+06
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B	2.18075e+07
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	3.66014e+07
Q99439	CNN2_HUMAN	CNN2	Calponin-2	1.90685e+07
Q99447	PCY2_HUMAN	PCYT2	Ethanolamine-phosphate cytidylyltransferase	4.35885e+06
Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	4.46217e+07
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	3.02421e+07
Q99470	SDF2_HUMAN	SDF2	Stromal cell-derived factor 2	2.83292e+06
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	1.65477e+07
Q99487	PAFA2_HUMAN	PAFAH2	Platelet-activating factor acetylhydrolase 2, cytoplasmic	1.31827e+06
Q99496	RING2_HUMAN	RNF2	E3 ubiquitin-protein ligase RING2	8.29159e+06
Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	2.77467e+08
Q99502	EYA1_HUMAN	EYA1	Eyes absent homolog 1	1.60296e+06
Q99504	EYA3_HUMAN	EYA3	Eyes absent homolog 3	3.23425e+06
Q99519	NEUR1_HUMAN	NEU1	Sialidase-1	4.56941e+06
Q99523	SORT_HUMAN	SORT1	Sortilin	1.62905e+06
Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	5.37312e+07
Q99538	LGMN_HUMAN	LGMN	Legumain	1.17173e+07
Q99541	PLIN2_HUMAN	PLIN2	Perilipin-2	8.23014e+06
Q99543	DNJC2_HUMAN	DNAJC2	DnaJ homolog subfamily C member 2	4.8336e+06
Q99549	MPP8_HUMAN	MPHOSPH8	M-phase phosphoprotein 8	6.26846e+06
Q99567	NUP88_HUMAN	NUP88	Nuclear pore complex protein Nup88	1.33616e+07
Q99569	PKP4_HUMAN	PKP4	Plakophilin-4	2.86178e+06
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	6.48175e+06
Q99575	POP1_HUMAN	POP1	Ribonucleases P/MRP protein subunit POP1	8.41985e+06
Q99584	S10AD_HUMAN	S100A13	Protein S100-A13	4.39843e+07
Q99590	SCAFB_HUMAN	SCAF11	Protein SCAF11	4.78021e+06
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X	2.25439e+07
Q99611	SPS2_HUMAN	SEPHS2	Selenide, water dikinase 2	7.70183e+06
Q99613	EIF3C_HUMAN	EIF3C	Eukaryotic translation initiation factor 3 subunit C	4.84279e+07
Q99614	TTC1_HUMAN	TTC1	Tetratricopeptide repeat protein 1	1.09279e+07
Q99615	DNJC7_HUMAN	DNAJC7	DnaJ homolog subfamily C member 7	3.72857e+07
Q99622	C10_HUMAN	C12orf57	Protein C10	4.15165e+06
Q99623	PHB2_HUMAN	PHB2	Prohibitin-2	3.04987e+08
Q99627	CSN8_HUMAN	COPS8	COP9 signalosome complex subunit 8	1.37831e+07
Q99633	PRP18_HUMAN	PRPF18	Pre-mRNA-splicing factor 18	1.86349e+06
Q99638	RAD9A_HUMAN	RAD9A	Cell cycle checkpoint control protein RAD9A	1.3263e+06
Q99653	CHP1_HUMAN	CHP1	Calcineurin B homologous protein 1	6.33338e+06
Q99661	KIF2C_HUMAN	KIF2C	Kinesin-like protein KIF2C	6.56532e+06
Q99674	CGRE1_HUMAN	CGREF1	Cell growth regulator with EF hand domain protein 1	8.62742e+06
Q99685	MGLL_HUMAN	MGLL	Monoglyceride lipase	3.2115e+06
Q99700	ATX2_HUMAN	ATXN2	Ataxin-2	9.07654e+06
Q99707	METH_HUMAN	MTR	Methionine synthase	3.18552e+06
Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	1.82248e+08
Q99715	COCA1_HUMAN	COL12A1	Collagen alpha-1(XII) chain	4.0826e+07
Q99717	SMAD5_HUMAN	SMAD5	Mothers against decapentaplegic homolog 5	4.26994e+06
Q99719	SEPT5_HUMAN	SEPTIN5	Septin-5	3.54422e+06
Q99720	SGMR1_HUMAN	SIGMAR1	Sigma non-opioid intracellular receptor 1	1.8581e+07
Q99729	ROAA_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	1.35968e+08
Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4	6.43198e+07
Q99735	MGST2_HUMAN	MGST2	Microsomal glutathione S-transferase 2	6.54903e+06
Q99747	SNAG_HUMAN	NAPG	Gamma-soluble NSF attachment protein	5.37311e+06
Q99757	THIOM_HUMAN	TXN2	Thioredoxin, mitochondrial	5.73003e+06
Q99766	ATP5S_HUMAN	DMAC2L	ATP synthase subunit s, mitochondrial	2.45922e+06
Q99767	APBA2_HUMAN	APBA2	Amyloid-beta A4 precursor protein-binding family A member 2	5.36589e+06
Q99797	MIPEP_HUMAN	MIPEP	Mitochondrial intermediate peptidase	6.59333e+06
Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	4.2635e+07
